DATA_DATE,NSW_PCR_CASES,NSW_RAPID_CASES,VIC_PCR_CASES,VIC_RAPID_CASES,QLD_PCR_CASES,QLD_RAPID_CASES,WA_PCR_CASES,WA_RAPID_CASES,SA_PCR_CASES,SA_RAPID_CASES,TAS_PCR_CASES,TAS_RAPID_CASES,ACT_PCR_CASES,ACT_RAPID_CASES,NT_PCR_CASES,NT_RAPID_CASES
1/01/2022,22577,0,7442,0,3587,0,7,0,2298,0,404,0,506,0,95,0
2/01/2022,18278,0,7172,0,4249,0,8,0,2552,0,466,0,514,0,58,0
3/01/2022,20794,0,8577,0,5699,0,14,0,3246,0,702,0,926,0,75,0
4/01/2022,23131,0,14020,0,6781,0,16,0,3493,0,867,0,810,0,117,0
5/01/2022,35054,0,17636,0,10332,0,9,0,3070,0,751,0,992,0,256,0
6/01/2022,34994,0,21997,0,10953,0,6,0,3707,0,1489,0,1246,0,412,0
7/01/2022,38625,0,24928,26428,11174,0,8,0,4274,0,1051,1172,1305,0,594,0
8/01/2022,45098,0,22104,22051,13680,4320,2,0,4170,336,598,808,1039,0,481,0
9/01/2022,30062,0,17618,17190,5867,3714,8,0,4024,0,397,821,938,0,291,112
10/01/2022,20293,0,19491,18503,16380,4186,15,0,2921,0,364,1015,1508,0,291,303
11/01/2022,25870,0,21693,18434,18084,3985,6,0,2978,737,736,847,1078,0,197,155
12/01/2022,34759,0,20326,16843,12102,2812,16,0,3669,0,253,847,1020,0,550,214
13/01/2022,30877,61387,19396,15440,13448,10182,9,0,3932,1747,349,852,885,1418,250,296
14/01/2022,25080,37938,12669,12857,13622,6087,9,0,3107,1242,255,884,629,691,278,134
15/01/2022,27020,21748,17791,10337,12830,4615,3,0,3450,0,245,580,716,600,196,131
16/01/2022,20978,13682,12059,10370,10547,4575,9,0,2860,969,310,727,878,723,135,149
17/01/2022,17646,11858,8433,11747,9978,5984,14,0,2257,822,360,950,976,884,91,534
18/01/2022,16067,13763,10726,10043,13992,5940,5,0,2311,1171,471,714,654,813,63,355
19/01/2022,19847,12450,11693,10273,11240,5572,10,0,2863,914,293,634,254,638,95,364
20/01/2022,17647,13178,10023,8144,11222,4809,10,0,2253,770,311,555,259,567,75,357
21/01/2022,15153,10015,8432,7584,10696,4354,11,0,2193,0,251,475,224,442,95,219
22/01/2022,11582,8566,6625,6466,8639,3308,26,0,1613,580,239,386,385,309,57,155
23/01/2022,8190,6901,4488,7207,6597,3615,15,0,1465,540,170,449,472,284,48,238
24/01/2022,9422,9090,6297,8539,5701,3845,18,0,1278,591,154,489,546,358,87,430
25/01/2022,12918,8112,6533,6974,8954,4557,24,0,1926,475,206,506,600,296,182,310
26/01/2022,9934,7382,6130,7625,3986,7614,12,0,1434,519,246,480,648,236,184,442
27/01/2022,6256,7077,5345,7410,6014,3960,10,0,1336,510,135,449,478,256,166,774
28/01/2022,7928,5426,6244,6006,7147,3244,23,0,1329,411,208,475,438,182,180,648
29/01/2022,7492,6032,4479,6110,5937,2643,20,0,1241,392,188,406,377,207,280,569
30/01/2022,7362,5664,3568,6485,4613,2849,22,0,1113,392,157,347,331,206,161,599
