LOCKDOWN_NAME,DIRECTION_NAME,START,END,AREA,AREA_TYPE,POPULATION
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 9) 2021,27/06/2021 13:00,27/06/2021 19:24,Darwin,LGA,"85,397"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 9) 2021,27/06/2021 13:00,27/06/2021 19:24,Palmerston,LGA,"39,587"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 9) 2021,27/06/2021 13:00,27/06/2021 19:24,Litchfield,LGA,"23,048"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 9) 2021,27/06/2021 13:00,27/06/2021 19:24,Wagait,LGA,465
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 9) 2021,27/06/2021 13:00,27/06/2021 19:24,Belyuen,LGA,165
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 9) 2021,27/06/2021 13:00,27/06/2021 19:24,Dundee Beach,Other,267
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Darwin,LGA,"85,397"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Palmerston,LGA,"39,587"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Litchfield,LGA,"23,048"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Wagait,LGA,465
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Belyuen,LGA,165
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Darwin Waterfront Precinct,Other,293
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Berrimah,Other,"1,199"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Northcrest,Other,0
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Elrundie,Other,0
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Dundee Beach,Other,267
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Dundee Forest,Other,85
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Bynoe,Other,98
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Charlotte,Other,19
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 13) 2021,27/06/2021 19:24,28/06/2021 19:40,Cox Peninsula,Other,6
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Darwin,LGA,"85,397"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Palmerston,LGA,"39,587"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Litchfield,LGA,"23,048"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Wagait,LGA,465
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Belyuen,LGA,165
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Darwin Waterfront Precinct,Other,293
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Charles Darwin National Park and East Arm,Other,15
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Elrundie,Other,0
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Dundee Beach,Other,267
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Dundee Forest,Other,85
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Bynoe,Other,98
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Charlotte,Other,19
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 16) 2021,28/06/2021 19:40,1/07/2021 18:43,Cox Peninsula,Other,6
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 21) 2021,30/06/2021 13:00,1/07/2021 18:40,Alice Springs,LGA,"28,601"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 23) 2021,1/07/2021 18:40,2/07/2021 13:00,Alice Springs,LGA,"28,601"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Darwin,LGA,"85,397"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Palmerston,LGA,"39,587"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Litchfield,LGA,"23,048"
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Wagait,LGA,465
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Belyuen,LGA,165
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Darwin Waterfront Precinct,Other,293
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Charles Darwin National Park and East Arm,Other,15
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Elrundie,Other,0
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Dundee Beach,Other,267
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Dundee Forest,Other,85
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Bynoe,Other,98
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Charlotte,Other,19
Greater Darwin and Alice Springs Lockdown,COVID-19 Directions (No. 25) 2021,1/07/2021 18:43,2/07/2021 13:00,Cox Peninsula,Other,6
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Darwin,LGA,"85,397"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Palmerston,LGA,"39,587"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Litchfield,LGA,"23,048"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Wagait,LGA,465
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Belyuen,LGA,165
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Katherine,LGA,"10,706"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Darwin Waterfront Precinct,Other,293
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Charles Darwin National Park and East Arm,Other,15
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Elrundie,Other,0
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Dundee Beach,Other,267
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Dundee Forest,Other,85
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Bynoe,Other,98
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Charlotte,Other,19
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 39) 2021,16/08/2021 12:00,16/08/2021 15:06,Cox Peninsula,Other,6
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Darwin,LGA,"85,397"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Palmerston,LGA,"39,587"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Litchfield,LGA,"23,048"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Wagait,LGA,465
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Belyuen,LGA,165
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Katherine,LGA,"10,706"
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Darwin Waterfront Precinct,Other,293
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Charles Darwin National Park and East Arm,Other,15
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Elrundie,Other,0
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Dundee Beach,Other,267
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Dundee Forest,Other,85
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Bynoe,Other,98
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Charlotte,Other,19
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 42) 2021,16/08/2021 15:06,19/08/2021 12:00,Cox Peninsula,Other,6
Greater Darwin and Katherine Lockdown,COVID-19 Directions (No. 46) 2021,19/08/2021 12:00,20/08/2021 12:00,Katherine,LGA,"10,706"
Katherine Lockdown,COVID-19 Directions (No. 59) 2021,5/11/2021 0:01,5/11/2021 20:22,Katherine,LGA,"10,706"
Katherine Lockdown,COVID-19 Directions (No. 68) 2021,5/11/2021 20:22,7/11/2021 15:00,Katherine,LGA,"10,706"
Katherine and Binjari Lockdown,COVID-19 Directions (No. 85) 2021,15/11/2021 18:00,27/11/2021 12:00,Katherine,LGA,"10,706"
Katherine and Binjari Lockdown,COVID-19 Directions (No. 105) 2021,27/11/2021 12:00,2/12/2021 12:06,Binjari,Other,232
Katherine and Binjari Lockdown,COVID-19 Directions (No. 112) 2021,2/12/2021 12:06,7/12/2021 11:59,Binjari,Other,232
Robinson River Lockdown,COVID-19 Directions (No. 86) 2021,15/11/2021 18:00,17/11/2021 10:49,Robinson River and homelands,Other,180
Robinson River Lockdown,COVID-19 Directions (No. 91) 2021,17/11/2021 10:49,22/11/2021 16:17,Biosecurity Designated Area,Other,180
Lajamanu Lockdown,COVID-19 Directions (No. 108) 2021,27/11/2021 22:27,1/12/2021 12:00,Lajamanu and homelands,Other,605
Tennant Creek Lockdown,COVID-19 Directions (No. 127) 2021,17/12/2021 16:55,23/12/2021 17:00,Tennant Creek,Other,"3,302"
Various Locality Lockdown,COVID-19 Directions (No. 133) 2021,19/12/2021 16:28,23/12/2021 13:42,Ali Curung,Other,347
Various Locality Lockdown,COVID-19 Directions (No. 133) 2021,19/12/2021 16:28,23/12/2021 13:42,Imangara,Other,60
Various Locality Lockdown,COVID-19 Directions (No. 133) 2021,19/12/2021 16:28,23/12/2021 13:42,Imperrenth,Other,0
Various Locality Lockdown,COVID-19 Directions (No. 133) 2021,19/12/2021 16:28,23/12/2021 13:42,Double D Homeland,Other,5
Various Locality Lockdown,COVID-19 Directions (No. 133) 2021,19/12/2021 16:28,23/12/2021 13:42,Junkaji Homeland,Other,5
Various Locality Lockdown,COVID-19 Directions (No. 133) 2021,19/12/2021 16:28,23/12/2021 13:42,Wakurlpu Homeland,Other,10
Elcho Island and Surrounds Lockdown,COVID-19 Directions (No. 20) 2022,17/01/2022 16:01,30/01/2022 14:00,Elcho Island,Other,425
Elcho Island and Surrounds Lockdown,COVID-19 Directions (No. 20) 2022,17/01/2022 16:01,30/01/2022 14:00,Galiwinku,Other,"2,027"
Yirrkala Lockdown,COVID-19 Directions (No. 21) 2022,17/01/2022 16:00,20/01/2022 14:00,Yirrkala,Other,524
Gunyangara and Wurrumiyanga Lockdown,COVID-19 Directions (No. 24) 2022,22/01/2022 14:00,29/01/2022 14:00,Gunyangara,Other,209
Gunyangara and Wurrumiyanga Lockdown,COVID-19 Directions (No. 24) 2022,22/01/2022 14:00,29/01/2022 14:00,Wurrumiyanga,Other,"1,209"
Utopia Lockdown,COVID-19 Directions (No. 25) 2022,22/01/2022 19:22,29/01/2022 14:00,Utopia Homelands,Other,372
Milikapiti Lockdown,COVID-19 Directions (No. 28) 2022,24/01/2022 14:46,30/01/2022 14:00,Milikapiti,Other,390
Ampilatwatja Lockdown,COVID-19 Directions (No. 31) 2022,28/01/2022 14:00,30/01/2022 14:00,Ampilatwatja,Other,425
